"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"201801","2호선","건대입구","306","25","20628","2211","26821","16122","64420","29500","117621","68340","72855","55411","42401","46866","41771","54349","49339","67704","56898","76279","56612","77140","62438","81554","70921","92297","83896","120691","103666","189450","83460","166008","82859","89874","95061","76177","102180","71037","65118","44593","11190","15150","5","1312","2","0","0","0","20180203"
"201801","2호선","구의(광진구청)","45","39","12272","1697","24503","10561","71933","15319","125167","42947","67696","28919","36272","21900","32241","21734","33284","23232","35073","27059","31324","29785","30569","34698","32692","40589","37360","50330","50246","86567","28320","79681","20950","51394","19458","48723","16085","48293","10108","28623","1823","9154","3","50","1","0","0","0","20180203"
"201801","2호선","강변(동서울터미널)","23","4","9950","3835","29960","29780","98834","35475","152873","54949","110324","53804","87793","53238","86591","55187","84691","63438","83490","73460","77520","80005","76625","90646","78400","98374","87570","107907","91234","152398","75180","132914","60100","88087","48460","76383","37836","71427","14427","40301","2124","10137","3","120","4","3","0","0","20180203"
"201801","2호선","잠실나루","13","0","2990","1766","13422","9695","49585","21129","62469","42503","36869","30585","27425","22338","28188","20645","28311","24411","27449","26204","28003","24608","29859","24392","33024","23677","36539","28019","40463","46864","22096","44823","16951","26594","13195","24567","8482","24792","3678","15386","584","5229","2","91","0","0","0","0","20180203"
"201801","2호선","잠실(송파구청)","188","80","15089","5970","49570","38621","144183","92533","210774","193433","147037","195630","94538","122862","100686","136506","108359","130952","127051","140101","131708","138082","152488","141437","173410","154917","210837","169099","295435","250914","212270","210241","187307","120321","161958","107553","127417","105720","41228","66283","5018","16275","5","288","0","0","0","0","20180203"
"201801","2호선","잠실새내","58","5","6787","1090","19858","9626","64305","16997","94479","32980","57514","37402","36782","28243","37252","30334","39116","33290","41802","39409","37206","42251","39135","44824","42955","51862","48365","65855","56338","102970","41354","94938","35024","53565","36642","45112","36074","43142","22403","25922","3951","7941","2","87","0","0","0","0","20180203"
"201801","2호선","종합운동장","16","1","5482","1666","8502","11616","23624","14220","33998","29061","25110","19699","16288","13534","16741","12808","16631","14380","17234","15869","18875","19688","16707","18918","19312","23519","22106","26414","27821","37795","21231","34033","14160","19661","19179","18789","6090","19520","2855","12386","369","3206","7","143","2","2","0","0","20180203"
"201801","2호선","삼성(무역센터)","161","2","5161","5609","8876","37885","19164","120586","27963","360430","27795","269458","28433","118678","41135","106292","52594","100977","71651","108777","88650","97896","112311","85459","128918","78672","172966","75966","336593","90898","222294","61416","155769","27697","134572","21482","101282","18498","33051","10139","4008","5666","4","1994","0","0","1","0","20180203"
"201801","2호선","선릉","120","6","6335","6387","13692","39824","24169","119268","39213","323661","37442","237580","38562","93763","52389","66073","60213","60904","74521","71786","83004","63434","102902","55795","146438","54519","163449","57033","330634","68625","180053","52134","107745","28829","114967","24541","94333","21910","37221","14073","5924","6433","4","128","0","0","0","0","20180203"
"201801","2호선","역삼","93","15","4450","8291","9836","38127","16613","131306","28147","383095","27063","285943","27434","114177","38089","77249","47169","63170","59605","76356","65765","66936","83052","59549","100149","53650","150869","59423","337523","71276","176768","54470","103411","28220","108748","21312","77074","18688","40618","12602","5557","4168","1","69","0","0","0","0","20180203"
