date,emission_factor,Jongno,pm10_rd,MSE
2018-01-09,20,116.08275694444444,34.833333333333336,3300.734418568889
2018-01-10,1,29.131013888888887,27.270833333333332,1.7301358496334867
2018-01-10,5,46.096784722222225,27.270833333333332,177.2082228484038
2018-01-10,10,66.12263888888889,27.270833333333332,754.7313974633488
2018-01-10,20,109.43215972222222,27.270833333333332,3375.241776990765
2018-01-11,1,29.405493055555556,30.208333333333332,0.322276255811148
2018-01-11,5,45.976597222222225,30.208333333333332,124.31907303481873
2018-01-11,10,68.7669375,30.208333333333332,743.3829776408421
2018-01-11,20,112.3986875,30.208333333333332,3377.6271590210504
2018-01-12,1,22.314965277777777,22.625,0.04806076449170558
2018-01-12,5,38.46472222222222,22.625,125.44840003858023
2018-01-12,10,60.861444444444444,22.625,731.0128418765432
2018-01-12,20,105.01548611111112,22.625,3394.096100812597
2018-01-13,1,48.75709722222222,51.770833333333336,4.541302673707572
2018-01-13,5,65.34660416666667,51.770833333333336,92.15077685959197
2018-01-13,10,86.92570138888888,51.770833333333336,617.9323740017599
2018-01-13,20,129.43286805555556,51.770833333333336,3015.6958185978247
2018-01-14,1,61.6766875,70.41666666666667,38.193617916883724
2018-01-14,5,76.43935416666666,70.41666666666667,18.13638236132806
2018-01-14,10,95.15577083333334,70.41666666666667,306.0116374845919
2018-01-14,20,137.45022916666667,70.41666666666667,2246.7492507207035
2018-01-15,1,58.109854166666665,71.54166666666667,90.20679351757822
2018-01-15,5,75.03884722222222,71.54166666666667,6.115135919077895
2018-01-15,10,93.81445833333333,71.54166666666667,248.03862431336796
2018-01-15,20,136.13975,71.54166666666667,2086.4561851701383
2018-01-16,1,87.52330555555555,111.4375,285.94434796334883
2018-01-16,5,105.0543125,111.4375,20.37254133007816
2018-01-16,10,126.99626388888889,111.4375,121.03756687509647
2018-01-16,20,174.83281944444445,111.4375,2009.4832637315785
2018-01-17,1,87.2665763888889,112.6875,323.11167862097307
2018-01-17,5,104.62124305555555,112.6875,32.532250546899135
2018-01-17,10,126.1259236111111,112.6875,90.29561457583422
2018-01-17,20,172.03786805555555,112.6875,1761.2330941649543
2018-01-18,1,72.37633333333333,84.58333333333333,74.50542449999992
2018-01-18,5,89.1259236111111,84.58333333333333,10.317563215880588
2018-01-18,10,110.20440972222222,84.58333333333333,328.21977766264
2018-01-18,20,152.2776597222222,84.58333333333333,2291.260912622709
2018-01-19,1,47.67859027777778,55.770833333333336,32.74219883509357
2018-01-19,5,65.79614583333333,55.770833333333336,50.25344536132803
2018-01-19,10,87.23630555555556,55.770833333333336,495.03797108371924
