ticks,sajikro,yulgokno,jongno,twegero,sejongdaero,samildaero,roadmean
48,18.75799694,18.5964189,19.1287784,18.6781121,18.89663578,18.66223101,18.88
49,22.20237816,21.68583626,21.86845486,22.0256247,21.57289511,21.63156892,21.89
50,21.93311395,22.17552581,23.77129826,21.97875777,21.99670317,21.99469816,21.89
51,21.71381219,21.72902647,24.10561802,21.91846915,21.97924318,22.08009639,21.9
52,28.61169334,28.74952788,32.11827736,29.07610338,28.97259882,28.9296301,28.91
53,28.83133526,29.02024873,31.84177544,29.16313936,28.98626217,28.81243369,28.91
54,28.89660105,28.97068833,31.75049418,29.10196821,28.95578834,28.97909162,28.91
55,35.63872817,35.66321818,39.67546615,35.86768647,35.85215216,35.50330165,35.92
56,35.6784091,36.20329068,35.95285675,35.99598117,35.97931012,35.64235924,35.92
57,36.08072201,36.07179229,35.83337215,35.5079749,36.13578817,35.68282435,35.92
58,45.39513458,45.20700118,45.64925947,45.33671362,45.30447141,45.42509287,45.46
59,45.46880385,45.21572556,45.04764492,45.55399051,45.04170218,45.46149907,45.46
60,45.07159475,45.51647862,45.62118471,45.48889291,45.28127439,45.14160136,45.48
61,47.8230432,47.735473,47.76093012,47.94122828,48.16266825,47.83289626,47.99
62,47.96831051,47.84082761,47.74125807,47.8176047,47.90451856,47.68938543,47.97
63,48.03373413,48.07289997,47.77900057,47.5373273,47.69493759,48.0720356,47.96
64,49.25141151,49.38899523,49.0719946,49.64610495,49.44390548,49.23744763,49.44
65,49.655815,49.46039055,49.61749919,49.68246178,49.01386014,49.10925769,49.43
66,49.09273273,49.03045147,49.41654787,49.08742059,49.58160741,49.40089769,49.42
67,52.69228958,52.99879566,52.86182031,53.20232544,52.82966869,52.97476068,52.91
68,53.06727129,52.61318327,52.78181225,52.85432387,53.13570651,53.04871255,52.9
69,52.63358572,53.09996573,53.09518413,52.75217562,53.11665156,52.54814457,52.9
70,51.92296297,52.14265685,51.72134531,51.80130173,51.66669761,52.19830038,51.9
71,51.83312522,51.74290714,52.0979225,51.73913713,51.76185683,51.87626066,51.9
72,51.559657,51.53769254,51.83691162,51.72097576,51.74793996,52.17820299,51.9
73,52.6960904,52.63490708,52.80346947,52.80649204,52.61065491,52.96742461,52.9
74,53.09543549,52.73256485,52.9969106,52.69495293,52.80760614,52.88099033,52.9
75,52.72304056,53.15723138,52.57740629,53.03265192,53.0903233,53.15254651,52.9
76,53.21171342,53.00226037,53.16139048,53.2291063,53.49991494,53.54266865,53.4
77,53.11655805,53.69086629,91.21665006,53.20666636,53.14565095,53.01951863,53.4
78,53.58410805,53.15152407,90.77157127,53.06175725,53.60241994,53.61569031,53.4
79,57.53094405,58.09192358,97.93764578,58.15561036,57.79932953,58.18422874,57.9
80,57.81945795,57.80592641,98.47928987,57.5619551,57.93978261,57.52653768,57.89
81,58.18807013,57.89099808,98.08854132,57.98076102,58.13864783,58.00773336,57.89
82,55.50736643,55.2715806,94.67317164,55.1100051,55.32916045,55.18376407,55.39
83,55.48731758,60.88012453,55.26858697,55.61817162,55.19579827,55.33466772,55.38
84,55.17208134,60.51422504,55.03098153,55.06482213,55.17695231,55.57668621,55.38
85,55.25179811,61.0522971,55.03541154,55.63700451,55.53448586,55.13155055,55.38
86,55.65691993,60.8642017,55.23789509,55.27600255,55.17725561,55.50398415,55.38
87,55.41198537,60.64943948,55.44934952,55.3004394,55.62803652,55.49995774,55.38
88,54.57984661,59.77584364,54.49121852,54.1805569,54.60751028,54.18494065,54.38
89,54.43593109,54.57077289,54.29917117,54.63350094,54.61525584,54.46114284,54.38
90,54.42845704,54.12534653,54.03050973,54.49533533,54.04898756,54.61284773,54.38
91,57.76875843,57.64168603,58.16109945,57.95600112,58.04908547,57.93104384,57.89
92,57.67999093,57.90760999,58.02474434,57.84567037,57.61034867,57.57525746,57.9
93,57.6707382,57.62443934,57.68997458,57.78080694,57.69058073,57.79845074,57.91
94,62.78920308,62.66414097,62.98422082,63.06198408,62.65465965,62.78158627,62.92
95,62.87311322,62.59859846,63.07575912,62.99291326,62.70265739,62.88161266,62.93
96,62.75294142,63.03383843,62.71188383,62.55980494,63.13402087,62.525672,62.94
97,70.65409273,70.67564956,70.60246376,70.633992,71.16300681,70.63958424,70.96
98,70.5731662,71.06165259,71.07199117,70.87690911,70.93791606,70.56809323,70.96
99,71.03511182,70.70732132,70.59786953,70.73045051,71.07182851,70.76293884,70.97
100,66.60704345,66.08454024,66.21570768,66.33238605,66.45740275,66.19323024,66.47
101,66.00796728,66.17835377,66.46490073,66.09721253,66.70092458,66.62313568,66.47
102,66.02196685,66.58920158,66.64266474,66.28059093,66.07148544,66.55278121,66.47
103,42.01398891,42.02276816,42.52740091,42.18285487,42.58797437,42.19802161,42.42
104,42.40742501,42.0232104,42.44089696,42.51566944,42.14541644,42.28095281,42.42
105,42.04727741,42.07251525,42.34597837,42.67341345,42.44805987,42.67174088,42.41
106,31.03205275,31.46331495,31.26110821,31.69799286,31.34371835,31.01197014,31.4
107,31.49395159,31.59547755,31.25476586,31.59719649,31.62014963,31.36387057,31.4
108,31.56553059,31.56224934,31.14175419,31.1296081,31.00875919,31.2856416,31.4
109,24.47351127,24.25956212,24.67002649,24.49753153,24.6857453,24.40186116,24.39
